source,dest,period,weight,title,removed_h1,transformed_original_titles,generated_parts,document_type,metadata_count,review_type
editorial/saw/qe/001/001-001.md,sitios/quinto-evangelio/content/decada-1950-1959/preguntas-y-respuestas-transcritas-al-final-de-la-1-edicion-de-la-revolucion-de-bel/index.md,decada-1950-1959,1,"001 PREGUNTAS Y RESPUESTAS TRANSCRITAS AL FINAL DE LA 1ª EDICIÓN DE ""LA REVOLUCIÓN DE BEL""",True,0,1,conference,7,False
editorial/saw/qe/001/001-002.md,sitios/quinto-evangelio/content/decada-1950-1959/diferencia-entre-aun-weor-y-victor-manuel-gomez-rodriguez/index.md,decada-1950-1959,2,DIFERENCIA ENTRE AUN WEOR Y VÍCTOR MANUEL GÓMEZ RODRÍGUEZ,True,0,1,short-text,5,False
editorial/saw/qe/001/001-003.md,sitios/quinto-evangelio/content/decada-1950-1959/el-libro-de-la-virgen-del-carmen/_index.md,decada-1950-1959,3,EL LIBRO DE LA VIRGEN DEL CARMEN,True,0,12,book,5,False
editorial/saw/qe/001/001-004.md,sitios/quinto-evangelio/content/decada-1950-1959/mensaje-de-navidad-1952-1-de-25/index.md,decada-1950-1959,4,MENSAJE DE NAVIDAD 1952 (1 DE 25),True,0,1,short-text,5,False
editorial/saw/qe/001/001-005.md,sitios/quinto-evangelio/content/decada-1950-1959/mensaje-de-navidad-1953-2-de-25/index.md,decada-1950-1959,5,MENSAJE DE NAVIDAD 1953 (2 DE 25),True,0,1,short-text,5,False
editorial/saw/qe/001/001-006.md,sitios/quinto-evangelio/content/decada-1950-1959/mensaje-de-navidad-1954-3-de-25/index.md,decada-1950-1959,6,MENSAJE DE NAVIDAD 1954 (3 DE 25),True,0,1,short-text,5,False
editorial/saw/qe/001/001-007.md,sitios/quinto-evangelio/content/decada-1950-1959/mensaje-de-navidad-1955-4-de-25/index.md,decada-1950-1959,7,MENSAJE DE NAVIDAD 1955 (4 DE 25),True,0,1,short-text,5,False
editorial/saw/qe/001/001-008.md,sitios/quinto-evangelio/content/decada-1950-1959/creacion-de-la-revista-abraxas-y-comentarios-sobre-la-marcha-iniciatica-de-julio-medina-vizcaino/index.md,decada-1950-1959,8,CREACIÓN DE LA REVISTA ABRAXAS Y COMENTARIOS SOBRE LA MARCHA INICIÁTICA DE JULIO MEDINA VIZCAÍNO,True,0,1,short-text,5,False
editorial/saw/qe/001/001-009.md,sitios/quinto-evangelio/content/decada-1950-1959/el-sello-de-salomon/index.md,decada-1950-1959,9,EL SELLO DE SALOMÓN,True,0,1,short-text,5,False
editorial/saw/qe/001/001-010.md,sitios/quinto-evangelio/content/decada-1950-1959/mensaje-de-navidad-1956-5-de-25/index.md,decada-1950-1959,10,MENSAJE DE NAVIDAD 1956 (5 DE 25),True,0,1,short-text,5,False
editorial/saw/qe/001/001-011.md,sitios/quinto-evangelio/content/decada-1950-1959/mensaje-de-ano-nuevo-1957-1-de-2/index.md,decada-1950-1959,11,MENSAJE DE AÑO NUEVO 1957 (1 DE 2),True,0,1,short-text,5,False
editorial/saw/qe/001/001-012.md,sitios/quinto-evangelio/content/decada-1950-1959/profecias-para-una-nueva-era/index.md,decada-1950-1959,12,PROFECÍAS PARA UNA NUEVA ERA,True,0,1,short-text,5,False
editorial/saw/qe/001/001-013.md,sitios/quinto-evangelio/content/decada-1950-1959/repaso-de-los-arcanos-1-a-7-en-relacion-al-arcano-azf/index.md,decada-1950-1959,13,REPASO DE LOS ARCANOS 1 A 7 EN RELACIÓN AL ARCANO AZF,True,0,1,short-text,5,False
editorial/saw/qe/001/001-014.md,sitios/quinto-evangelio/content/decada-1950-1959/el-arcano-azf-y-las-runas/index.md,decada-1950-1959,14,EL ARCANO AZF Y LAS RUNAS,True,0,1,short-text,5,False
editorial/saw/qe/001/001-015.md,sitios/quinto-evangelio/content/decada-1950-1959/repaso-de-arcanos-6-a-11-y-arcano-12/index.md,decada-1950-1959,15,REPASO DE ARCANOS 6 A 11 Y ARCANO 12,True,0,1,short-text,5,False
editorial/saw/qe/001/001-016.md,sitios/quinto-evangelio/content/decada-1950-1959/el-trabajo-del-dia-13/index.md,decada-1950-1959,16,EL TRABAJO DEL DÍA 13,True,0,1,short-text,5,False
editorial/saw/qe/001/001-017.md,sitios/quinto-evangelio/content/decada-1950-1959/mensaje-de-navidad-1957-6-de-25/index.md,decada-1950-1959,17,MENSAJE DE NAVIDAD 1957 (6 DE 25),True,0,1,short-text,5,False
editorial/saw/qe/001/001-018.md,sitios/quinto-evangelio/content/decada-1950-1959/mensaje-de-ano-nuevo-1958-2-de-2/index.md,decada-1950-1959,18,MENSAJE DE AÑO NUEVO 1958 (2 DE 2),True,0,1,short-text,5,False
editorial/saw/qe/001/001-019.md,sitios/quinto-evangelio/content/decada-1950-1959/el-arcano-20/index.md,decada-1950-1959,19,EL ARCANO 20,True,0,1,short-text,5,False
editorial/saw/qe/001/001-020.md,sitios/quinto-evangelio/content/decada-1950-1959/el-inicio-del-movimiento-gnostico-en-mexico/index.md,decada-1950-1959,20,EL INICIO DEL MOVIMIENTO GNÓSTICO EN MÉXICO,True,0,1,short-text,5,False
editorial/saw/qe/001/001-021.md,sitios/quinto-evangelio/content/decada-1950-1959/el-arcano-21/index.md,decada-1950-1959,21,EL ARCANO 21,True,0,1,short-text,5,False
editorial/saw/qe/001/001-022.md,sitios/quinto-evangelio/content/decada-1950-1959/el-arcano-22/index.md,decada-1950-1959,22,EL ARCANO 22,True,0,1,short-text,5,False
editorial/saw/qe/001/001-023.md,sitios/quinto-evangelio/content/decada-1950-1959/formacion-del-a-g-l-a/index.md,decada-1950-1959,23,FORMACIÓN DEL A.G.L.A.,True,0,1,short-text,5,False
editorial/saw/qe/001/001-024.md,sitios/quinto-evangelio/content/decada-1950-1959/los-estados-jinas/index.md,decada-1950-1959,24,002 LOS ESTADOS JINAS,True,0,1,conference,10,False
editorial/saw/qe/001/001-025.md,sitios/quinto-evangelio/content/decada-1950-1959/carta-abierta-a-pio-xii/index.md,decada-1950-1959,25,CARTA ABIERTA A PÍO XII,True,0,1,short-text,5,False
editorial/saw/qe/001/001-026.md,sitios/quinto-evangelio/content/decada-1950-1959/mensaje-de-navidad-1958-7-de-25/index.md,decada-1950-1959,26,MENSAJE DE NAVIDAD 1958 (7 DE 25),True,0,1,short-text,5,False
